"health_2010hcr_x","libcpre_self","gun_control","gun_importance","guarpr_self","aa_uni_x","aa_work_x","fedspend_ss","fedspend_schools","fedspend_scitech","fedspend_crime","fedspend_welfare","fedspend_child","fedspend_poor","fedspend_enviro","envir_drill","envir_nuke","envir_gwarm","envir_gwgood","envir_gwhow","gayrt_discrev","gayrt_discstd","gayrt_milrev","gayrt_milstd","gayrt_adopt","gayrt_marry","dem_edugroup_x","happ_lifesatisf","abort_health_x","abort_fatal_x","abort_incest_x","abort_rape_x","abort_bd_x","abort_fin_x","abort_sex_x","abort_choice_x"
1,4,"1. more difficult",5,5,2,4,1,3,3,1,2,1,1,1,"1. favor","3. the same number",1,"2. bad","1. mostly by human activity",1,NA,1,NA,1,1,3,3,"8. oppose moderately","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","6. lean toward opposing","9. oppose a great deal","5. do not lean either way"
3,3,"1. more difficult",2,7,4,4,1,3,1,3,1,2,2,1,"3. neither favor nor oppose","2. fewer",2,"3. neither good nor bad","2. mostly by natural causes",1,NA,1,NA,2,2,3,3,"9. oppose a great deal","2. favor moderately","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
1,4,"1. more difficult",5,5,4,4,3,1,1,1,2,3,2,3,"3. neither favor nor oppose","3. the same number",1,"2. bad","3. about equally by human activity and natural causes",1,NA,1,NA,2,1,1,3,"1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","2. favor moderately","9. oppose a great deal","1. favor a great deal"
2,3,"1. more difficult",4,3,7,7,1,1,1,1,3,2,3,3,"3. neither favor nor oppose","2. fewer",1,"2. bad","1. mostly by human activity",NA,1,NA,1,1,1,4,2,"5. do not lean either way","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","5. do not lean either way","9. oppose a great deal","1. favor a great deal"
4,5,"1. more difficult",3,5,7,7,1,1,1,3,2,2,2,1,"3. neither favor nor oppose","3. the same number",1,"2. bad","1. mostly by human activity",1,NA,1,NA,1,1,5,3,"2. favor moderately","1. favor a great deal","2. favor moderately","1. favor a great deal","1. favor a great deal","3. favor a little","9. oppose a great deal","1. favor a great deal"
1,3,"1. more difficult",5,3,4,4,3,1,1,1,2,3,1,1,"1. favor","2. fewer",1,"2. bad","3. about equally by human activity and natural causes",1,NA,1,NA,1,2,3,3,"5. do not lean either way","1. favor a great deal","1. favor a great deal","1. favor a great deal","5. do not lean either way","9. oppose a great deal","9. oppose a great deal","5. do not lean either way"
1,4,"3. keep these rules about the same",4,1,1,1,3,1,3,1,3,3,3,1,"1. favor","1. more",1,"2. bad","1. mostly by human activity",1,NA,1,NA,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA
1,4,"1. more difficult",5,1,1,1,1,2,3,2,1,3,1,3,"2. oppose","2. fewer",1,"2. bad","1. mostly by human activity",NA,2,NA,2,2,3,1,3,"1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
4,3,"1. more difficult",2,2,4,4,1,1,1,1,3,1,3,1,"1. favor","1. more",1,"3. neither good nor bad","3. about equally by human activity and natural causes",NA,1,NA,1,1,1,5,2,"1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","4. lean toward favoring","9. oppose a great deal","1. favor a great deal"
7,4,"3. keep these rules about the same",3,5,4,3,1,1,3,1,3,3,1,3,"2. oppose","3. the same number",1,"2. bad","3. about equally by human activity and natural causes",NA,1,NA,1,1,1,2,4,"2. favor moderately","2. favor moderately","2. favor moderately","2. favor moderately","5. do not lean either way","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
2,2,"1. more difficult",3,4,3,3,3,3,3,3,3,3,3,3,"3. neither favor nor oppose","2. fewer",1,"2. bad","3. about equally by human activity and natural causes",NA,1,NA,1,1,1,4,2,"2. favor moderately","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","2. favor moderately","9. oppose a great deal","8. oppose moderately"
2,4,"3. keep these rules about the same",3,6,5,6,1,1,2,2,2,3,2,3,"1. favor","3. the same number",1,"2. bad","2. mostly by natural causes",NA,1,NA,1,1,1,5,2,"3. favor a little","1. favor a great deal","1. favor a great deal","1. favor a great deal","3. favor a little","9. oppose a great deal","9. oppose a great deal","5. do not lean either way"
4,5,"1. more difficult",3,5,2,2,1,1,1,1,1,3,1,3,"3. neither favor nor oppose","3. the same number",1,"2. bad","3. about equally by human activity and natural causes",1,NA,1,NA,1,1,1,3,"9. oppose a great deal","2. favor moderately","2. favor moderately","1. favor a great deal","1. favor a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
7,7,"1. more difficult",3,6,6,6,2,2,3,1,2,1,3,2,"1. favor","1. more",2,"2. bad","2. mostly by natural causes",2,NA,2,NA,2,3,3,2,"9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
6,4,"3. keep these rules about the same",4,4,7,7,3,3,3,1,3,2,3,3,"1. favor","3. the same number",2,"3. neither good nor bad","3. about equally by human activity and natural causes",NA,1,NA,1,1,1,4,1,"1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","4. lean toward favoring","1. favor a great deal"
4,5,"1. more difficult",5,-2,6,7,3,1,1,3,1,1,1,3,"3. neither favor nor oppose","2. fewer",1,"2. bad","1. mostly by human activity",NA,1,NA,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA
4,6,"3. keep these rules about the same",3,5,6,6,1,1,3,1,2,3,2,3,"1. favor","1. more",1,"3. neither good nor bad","3. about equally by human activity and natural causes",NA,2,NA,2,2,3,2,3,"9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
7,5,"1. more difficult",4,4,4,4,3,3,3,3,3,3,3,3,"1. favor","3. the same number",1,"2. bad","3. about equally by human activity and natural causes",NA,2,NA,1,2,3,2,4,"8. oppose moderately","8. oppose moderately","8. oppose moderately","8. oppose moderately","8. oppose moderately","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
2,2,"1. more difficult",3,-2,4,4,3,3,2,3,2,3,3,3,"3. neither favor nor oppose","2. fewer",2,"3. neither good nor bad","3. about equally by human activity and natural causes",NA,1,NA,1,2,2,4,3,"8. oppose moderately","8. oppose moderately","8. oppose moderately","8. oppose moderately","8. oppose moderately","8. oppose moderately","8. oppose moderately","8. oppose moderately"
7,4,"3. keep these rules about the same",4,3,4,4,2,1,2,3,2,2,2,3,"1. favor","1. more",1,"3. neither good nor bad","1. mostly by human activity",2,NA,1,NA,2,3,3,3,"6. lean toward opposing","1. favor a great deal","9. oppose a great deal","1. favor a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","6. lean toward opposing"
7,5,"1. more difficult",4,6,7,7,1,1,3,1,2,2,2,3,"1. favor","2. fewer",1,"2. bad","3. about equally by human activity and natural causes",NA,1,NA,1,1,3,4,1,"4. lean toward favoring","1. favor a great deal","4. lean toward favoring","2. favor moderately","8. oppose moderately","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
4,2,"1. more difficult",3,2,5,4,3,1,1,2,1,3,1,3,"2. oppose","2. fewer",1,"2. bad","3. about equally by human activity and natural causes",1,NA,1,NA,1,1,3,2,"5. do not lean either way","5. do not lean either way","5. do not lean either way","5. do not lean either way","5. do not lean either way","5. do not lean either way","5. do not lean either way","5. do not lean either way"
7,4,"3. keep these rules about the same",4,5,4,7,1,3,2,1,3,1,3,1,"3. neither favor nor oppose","2. fewer",2,"3. neither good nor bad","1. mostly by human activity",1,NA,1,NA,2,3,3,4,"5. do not lean either way","5. do not lean either way","5. do not lean either way","1. favor a great deal","8. oppose moderately","5. do not lean either way","9. oppose a great deal","5. do not lean either way"
5,7,"1. more difficult",3,1,4,4,1,2,3,2,2,1,1,2,"3. neither favor nor oppose","1. more",2,"2. bad","3. about equally by human activity and natural causes",2,NA,1,NA,1,1,2,4,"3. favor a little","9. oppose a great deal","3. favor a little","3. favor a little","8. oppose moderately","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
4,5,"3. keep these rules about the same",3,6,7,7,1,3,2,1,3,3,1,3,"1. favor","2. fewer",1,"2. bad","2. mostly by natural causes",1,NA,1,NA,2,3,2,3,"6. lean toward opposing","1. favor a great deal","9. oppose a great deal","9. oppose a great deal","6. lean toward opposing","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
4,4,"3. keep these rules about the same",5,4,7,7,1,1,1,1,2,2,2,3,"1. favor","1. more",1,"2. bad","3. about equally by human activity and natural causes",NA,1,NA,1,1,1,4,4,"5. do not lean either way","1. favor a great deal","2. favor moderately","5. do not lean either way","1. favor a great deal","9. oppose a great deal","9. oppose a great deal","8. oppose moderately"
6,1,"3. keep these rules about the same",2,2,4,4,1,1,1,3,1,1,1,1,"2. oppose","2. fewer",1,"2. bad","1. mostly by human activity",1,NA,1,NA,1,1,3,3,"1. favor a great deal","1. favor a great deal","4. lean toward favoring","1. favor a great deal","1. favor a great deal","2. favor moderately","6. lean toward opposing","1. favor a great deal"
6,5,"1. more difficult",4,6,7,7,3,1,1,3,2,2,2,2,"1. favor","1. more",1,"3. neither good nor bad","3. about equally by human activity and natural causes",NA,1,NA,2,2,3,2,3,"9. oppose a great deal","1. favor a great deal","4. lean toward favoring","3. favor a little","3. favor a little","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
2,4,"1. more difficult",3,4,6,6,1,1,1,3,3,3,3,3,"1. favor","3. the same number",1,"2. bad","3. about equally by human activity and natural causes",1,NA,1,NA,1,2,2,2,"4. lean toward favoring","1. favor a great deal","5. do not lean either way","1. favor a great deal","4. lean toward favoring","8. oppose moderately","9. oppose a great deal","5. do not lean either way"
7,6,"3. keep these rules about the same",5,6,7,7,1,3,3,1,2,2,2,3,"1. favor","1. more",2,"2. bad","3. about equally by human activity and natural causes",NA,2,NA,2,2,3,2,3,"1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","2. favor moderately","9. oppose a great deal","8. oppose moderately","6. lean toward opposing"
2,4,"1. more difficult",4,3,2,2,1,3,1,3,3,3,1,1,"1. favor","1. more",1,"2. bad","1. mostly by human activity",NA,2,NA,2,2,3,2,3,"9. oppose a great deal","2. favor moderately","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
4,6,"1. more difficult",4,3,4,4,2,1,3,1,1,3,1,1,"3. neither favor nor oppose","3. the same number",1,"2. bad","3. about equally by human activity and natural causes",1,NA,1,NA,2,2,1,3,"9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
7,5,"3. keep these rules about the same",2,5,7,7,3,1,1,1,2,2,3,2,"1. favor","1. more",2,"3. neither good nor bad","2. mostly by natural causes",1,NA,1,NA,1,1,4,3,"5. do not lean either way","2. favor moderately","2. favor moderately","2. favor moderately","2. favor moderately","5. do not lean either way","8. oppose moderately","2. favor moderately"
7,5,"3. keep these rules about the same",3,7,7,6,3,3,1,3,2,2,3,3,"3. neither favor nor oppose","3. the same number",1,"2. bad","3. about equally by human activity and natural causes",NA,1,NA,1,2,2,4,3,"9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
4,4,"2. easier",5,3,7,7,3,1,1,3,3,3,3,1,"2. oppose","3. the same number",1,"3. neither good nor bad","3. about equally by human activity and natural causes",NA,1,NA,1,1,1,2,5,"5. do not lean either way","5. do not lean either way","1. favor a great deal","1. favor a great deal","5. do not lean either way","5. do not lean either way","5. do not lean either way","1. favor a great deal"
1,4,"1. more difficult",5,4,1,2,1,1,1,1,3,3,1,1,"2. oppose","2. fewer",1,"2. bad","1. mostly by human activity",NA,1,NA,1,1,1,2,4,"1. favor a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","8. oppose moderately","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
1,2,"3. keep these rules about the same",2,6,4,4,1,1,1,3,3,1,3,3,"3. neither favor nor oppose","3. the same number",1,"2. bad","1. mostly by human activity",NA,1,NA,1,1,1,3,2,"1. favor a great deal",NA,"1. favor a great deal","1. favor a great deal","2. favor moderately","2. favor moderately",NA,"1. favor a great deal"
7,4,"3. keep these rules about the same",4,6,7,7,1,1,2,3,2,2,3,2,"1. favor","3. the same number",1,"2. bad","3. about equally by human activity and natural causes",NA,2,NA,1,2,3,4,2,"8. oppose moderately","2. favor moderately","8. oppose moderately","2. favor moderately","8. oppose moderately","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
4,6,"1. more difficult",3,3,6,6,3,1,3,1,3,1,1,3,"3. neither favor nor oppose","3. the same number",1,"2. bad","3. about equally by human activity and natural causes",2,NA,2,NA,2,3,2,3,"9. oppose a great deal","4. lean toward favoring","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
7,4,"3. keep these rules about the same",5,3,6,6,1,3,3,1,2,2,2,2,"1. favor","3. the same number",2,"3. neither good nor bad","3. about equally by human activity and natural causes",NA,1,NA,2,1,2,2,3,"9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","1. favor a great deal","2. favor moderately","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
1,5,"1. more difficult",3,3,4,4,3,1,1,3,3,3,3,3,"2. oppose","2. fewer",1,"2. bad","1. mostly by human activity",NA,1,NA,1,1,1,4,2,"1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","9. oppose a great deal","1. favor a great deal"
4,4,"2. easier",4,3,4,2,2,2,2,2,2,2,2,2,"1. favor","2. fewer",1,"2. bad","1. mostly by human activity",NA,1,NA,1,1,1,3,5,"5. do not lean either way","5. do not lean either way","5. do not lean either way","1. favor a great deal","1. favor a great deal","5. do not lean either way","5. do not lean either way","1. favor a great deal"
4,4,"3. keep these rules about the same",4,7,4,7,3,3,3,3,2,3,2,3,"3. neither favor nor oppose","3. the same number",1,"3. neither good nor bad","2. mostly by natural causes",NA,1,NA,1,1,1,2,2,"8. oppose moderately","4. lean toward favoring","6. lean toward opposing","6. lean toward opposing","6. lean toward opposing","9. oppose a great deal","9. oppose a great deal","4. lean toward favoring"
4,2,"2. easier",5,4,5,4,2,1,1,1,1,1,1,1,"3. neither favor nor oppose","3. the same number",1,"3. neither good nor bad","2. mostly by natural causes",NA,1,NA,1,1,1,3,1,"8. oppose moderately","8. oppose moderately","9. oppose a great deal","2. favor moderately","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","8. oppose moderately"
7,6,"1. more difficult",4,5,6,6,3,2,3,3,2,2,3,3,"1. favor","3. the same number",2,"3. neither good nor bad","3. about equally by human activity and natural causes",NA,1,NA,1,1,2,2,2,"4. lean toward favoring","1. favor a great deal","6. lean toward opposing","8. oppose moderately","2. favor moderately","9. oppose a great deal","9. oppose a great deal","8. oppose moderately"
2,2,"1. more difficult",2,6,4,4,3,1,1,3,3,3,3,3,"1. favor","3. the same number",1,"2. bad","3. about equally by human activity and natural causes",NA,1,NA,1,1,1,2,1,"1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal"
7,7,"2. easier",5,7,7,7,3,2,3,1,2,2,2,2,"1. favor","1. more",2,"3. neither good nor bad","2. mostly by natural causes",NA,1,NA,2,2,2,3,1,"3. favor a little","2. favor moderately","4. lean toward favoring","3. favor a little","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
7,6,"1. more difficult",1,4,4,4,3,1,1,1,2,3,3,1,"1. favor","3. the same number",2,"2. bad","2. mostly by natural causes",NA,1,NA,1,1,2,4,2,"9. oppose a great deal","3. favor a little","1. favor a great deal","3. favor a little","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
4,2,"3. keep these rules about the same",3,1,4,4,2,1,1,3,3,1,3,1,"1. favor","2. fewer",1,"2. bad","1. mostly by human activity",NA,1,NA,1,1,1,3,3,"5. do not lean either way","5. do not lean either way","5. do not lean either way","5. do not lean either way","5. do not lean either way","5. do not lean either way","5. do not lean either way","1. favor a great deal"
7,6,"3. keep these rules about the same",3,6,5,5,3,2,3,3,2,3,2,2,"1. favor","1. more",1,"3. neither good nor bad","2. mostly by natural causes",1,NA,1,NA,1,2,4,3,"3. favor a little","1. favor a great deal","2. favor moderately","2. favor moderately","5. do not lean either way","5. do not lean either way","9. oppose a great deal","6. lean toward opposing"
7,7,"3. keep these rules about the same",5,7,7,7,3,2,1,3,2,2,2,2,"1. favor","2. fewer",2,"3. neither good nor bad","2. mostly by natural causes",NA,1,NA,1,2,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA
4,4,"1. more difficult",3,5,5,5,3,1,2,3,2,1,3,3,"3. neither favor nor oppose","3. the same number",1,"3. neither good nor bad","3. about equally by human activity and natural causes",1,NA,1,NA,1,1,2,2,"1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","9. oppose a great deal","1. favor a great deal"
4,4,"3. keep these rules about the same",2,3,4,6,1,1,3,3,3,3,1,1,"2. oppose","1. more",1,"2. bad","1. mostly by human activity",1,NA,1,NA,1,1,5,2,"1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","2. favor moderately","9. oppose a great deal","9. oppose a great deal","2. favor moderately"
7,4,"1. more difficult",3,6,4,4,2,1,1,3,2,3,2,2,"1. favor","1. more",1,"2. bad","2. mostly by natural causes",1,NA,1,NA,1,2,4,2,"1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","7. oppose a little","9. oppose a great deal","3. favor a little"
6,6,"2. easier",3,3,4,4,2,1,1,1,2,1,2,2,"1. favor","1. more",1,"3. neither good nor bad","2. mostly by natural causes",NA,1,NA,1,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA
2,2,"1. more difficult",3,6,7,7,1,1,3,3,1,3,1,1,"2. oppose","3. the same number",1,"2. bad","1. mostly by human activity",1,NA,1,NA,1,1,3,4,"1. favor a great deal","1. favor a great deal","9. oppose a great deal","1. favor a great deal","7. oppose a little","8. oppose moderately","9. oppose a great deal","3. favor a little"
1,2,"1. more difficult",3,5,6,7,1,3,1,2,2,3,3,3,"3. neither favor nor oppose","1. more",1,"2. bad","1. mostly by human activity",1,NA,1,NA,1,1,3,3,"1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal"
2,4,"3. keep these rules about the same",4,3,4,4,3,1,1,3,3,3,1,1,"2. oppose","3. the same number",1,"2. bad","1. mostly by human activity",NA,2,NA,1,1,1,3,4,"1. favor a great deal","5. do not lean either way","1. favor a great deal","1. favor a great deal","2. favor moderately","9. oppose a great deal","9. oppose a great deal","3. favor a little"
7,6,"3. keep these rules about the same",4,7,6,7,3,1,3,1,2,3,3,3,"1. favor","1. more",2,"3. neither good nor bad","2. mostly by natural causes",2,NA,1,NA,1,3,4,2,"9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","4. lean toward favoring","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
